"Successfully deleted credit memo #%1.","Successfully deleted credit memo #%1."
"Error delete credit memo #%1.","Error delete credit memo #%1."
"Delete Order Credit Memo is Disabled","Delete Order Credit Memo is Disabled"
"Delete Order Module is Disabled","Delete Order Module is Disabled"
"Successfully deleted invoice #%1.","Successfully deleted invoice #%1."
"Error delete invoice #%1.","Error delete invoice #%1."
"Delete Order Invoice is Disabled","Delete Order Invoice is Disabled"
"Delete Order module is Disabled","Delete Order module is Disabled"
"%1 order(s) have been deleted.","%1 order(s) have been deleted."
"There is a problem.","There is a problem."
"Successfully deleted order #%1.","Successfully deleted order #%1."
"Error delete order #%1.","Error delete order #%1."
"Successfully deleted shipment #%1.","Successfully deleted shipment #%1."
"Error delete shipment #%1.","Error delete shipment #%1."
"Delete Order Shipment is Disabled","Delete Order Shipment is Disabled"
"Note: ","Note: "
"Invoices, Credit Memos and Shipments related to this order will also be deleted.","Invoices, Credit Memos and Shipments related to this order will also be deleted."
"Are you sure you want to do this?","Are you sure you want to do this?"
"Delete Order","Delete Order"
"Delete invoices","Delete invoices"
"Are you sure you want to delete selected invoice(s)?","Are you sure you want to delete selected invoice(s)?"
"Delete Shipments","Delete Shipments"
"Are you sure you want to delete selected Shipment(s)?","Are you sure you want to delete selected Shipment(s)?"
"Delete Credit Memos","Delete Credit Memos"
"Delete Credit Memo","Delete Credit Memo"
"Are you sure you want to delete selected Credit Memo(s)?","Are you sure you want to delete selected Credit Memo(s)?"
"Delete Orders","Delete Orders"
"Invoices, Credit Memos and Shipments related to this order(s) will also be deleted.","Invoices, Credit Memos and Shipments related to this order(s) will also be deleted."
"Are you sure you want to delete selected order(s)?","Are you sure you want to delete selected order(s)?"
Sales,Sales
Operations,Operations
Orders,Orders
"MageINIC DeleteOrders","MageINIC DeleteOrders"
"Delete Invoice","Delete Invoice"
"Delete Shipment","Delete Shipment"
"Delete Orders Configuration","Delete Orders Configuration"
"Enable Delete Orders","Enable Delete Orders"
"Select <b>Enable</b> to enable this module.<br />","Select <b>Enable</b> to enable this module.<br />"
"Delete Order Shipment","Delete Order Shipment"
"Select <b>Yes</b> to order Shipment.<br />","Select <b>Yes</b> to order Shipment.<br />"
"Delete Order Invoice","Delete Order Invoice"
"Select <b>Yes</b> to order Invoice.<br />","Select <b>Yes</b> to order Invoice.<br />"
"Delete Order Credit Memo","Delete Order Credit Memo"
"Select <b>Yes</b> to Delete order Credit Memo.<br />","Select <b>Yes</b> to Delete order Credit Memo.<br />"
"Are you sure you want to delete selected Credit-Memos(s)?","Are you sure you want to delete selected Credit-Memos(s)?"
"Delete Credit-Memos","Delete Credit-Memos"
"Are you sure you want to delete selected Invoice(s)?","Are you sure you want to delete selected Invoice(s)?"
"Delete Invoices","Delete Invoices"
